"","country","year","unemp","leftseat"
"8","AUSTRALIA",1967,1.87999999523163,0.333000004291534
"9","AUSTRALIA",1968,1.85000002384186,0.333000004291534
"10","AUSTRALIA",1969,1.79999995231628,0.472000002861023
"11","AUSTRALIA",1970,1.62999999523163,0.472000002861023
"12","AUSTRALIA",1971,1.92999994754791,0.472000002861023
"13","AUSTRALIA",1972,2.63000011444092,0.53600001335144
"14","AUSTRALIA",1973,2.32999992370605,0.53600001335144
"15","AUSTRALIA",1974,2.70000004768372,0.519999980926514
"16","AUSTRALIA",1975,4.92999982833862,0.282999992370605
"17","AUSTRALIA",1976,4.75,0.282999992370605
"18","AUSTRALIA",1977,5.65000009536743,0.305999994277954
"19","AUSTRALIA",1978,6.42999982833862,0.305999994277954
"20","AUSTRALIA",1979,6.26999998092651,0.305999994277954
"21","AUSTRALIA",1980,6.09999990463257,0.407999992370605
"22","AUSTRALIA",1981,5.78000020980835,0.407999992370605
"23","AUSTRALIA",1982,7.15999984741211,0.407999992370605
"24","AUSTRALIA",1983,9.96000003814697,0.600000023841858
"25","AUSTRALIA",1984,8.97999954223633,0.554000020027161
"26","AUSTRALIA",1985,8.27999973297119,0.554000020027161
"27","AUSTRALIA",1986,8.07999992370605,0.554000020027161
"28","AUSTRALIA",1987,8.10999965667725,0.580999970436096
"29","AUSTRALIA",1988,7.23999977111816,0.580999970436096
"30","AUSTRALIA",1989,6.17999982833862,0.580999970436096
"31","AUSTRALIA",1990,6.92999982833862,0.52700001001358
"32","AUSTRALIA",1991,9.60000038146973,0.52700001001358
"33","AUSTRALIA",1992,10.789999961853,0.52700001001358
"34","AUSTRALIA",1993,10.8900003433228,0.544000029563904
"35","AUSTRALIA",1994,9.73999977111816,0.544000029563904
"36","AUSTRALIA",1995,8.52000045776367,0.544000029563904
"37","AUSTRALIA",1996,8.52999973297119,0.331000000238419
"38","AUSTRALIA",1997,8.55000019073486,0.331000000238419
"39","AUSTRALIA",1998,7.98999977111816,0.331000000238419
"40","AUSTRIA",1960,3.48000001907349,0.460999995470047
"41","AUSTRIA",1961,2.67000007629395,0.460999995470047
"42","AUSTRIA",1962,2.69000005722046,0.460999995470047
"43","AUSTRIA",1963,2.9300000667572,0.460999995470047
"44","AUSTRIA",1964,2.6800000667572,0.460999995470047
"45","AUSTRIA",1965,2.6800000667572,0.460999995470047
"46","AUSTRIA",1966,2.51999998092651,0.448000013828278
"47","AUSTRIA",1967,2.67000007629395,0.448000013828278
"48","AUSTRIA",1968,2.95000004768372,0.448000013828278
